tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1980-1725,Pepsi Grand Slam,Clay,4,A,19800208,1,100437,0,0,Bjorn Borg,R,180,SWE,23.67419576,100282,0,0,Guillermo Vilas,L,180,ARG,27.4770705,6-2 6-3,3,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-1725,Pepsi Grand Slam,Clay,4,A,19800208,2,100342,0,0,Vitas Gerulaitis,R,183,USA,25.53867214,100581,0,0,John McEnroe,L,180,USA,20.97741273,7-6 6-3,3,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-1725,Pepsi Grand Slam,Clay,4,A,19800208,3,100437,0,0,Bjorn Borg,R,180,SWE,23.67419576,100342,0,0,Vitas Gerulaitis,R,183,USA,25.53867214,6-1 5-7 6-1,3,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-205,Lagos,Clay,32,A,19800225,1,100259,1,0,Peter Feigl,R,183,AUT,28.23819302,100443,0,0,Christophe Freyss,L,183,FRA,23.4880219,6-3 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-205,Lagos,Clay,32,A,19800225,2,100135,0,0,Onny Parun,R,188,NZL,32.86516085,100467,0,0,Mark Turpin,R,183,USA,23.05544148,6-4 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-205,Lagos,Clay,32,A,19800225,3,100450,0,0,Leo Palin,R,178,FIN,23.34839151,110384,0,0,Kehinde Ajayi,R,0,NGR,0,6-4 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-205,Lagos,Clay,32,A,19800225,4,100228,7,0,Kjell Johansson,R,0,SWE,29.0349076,107719,0,Q,Martin Lorenzoni,R,0,ITA,0,6-0 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-205,Lagos,Clay,32,A,19800225,5,100148,0,0,Ismail El Shafei,R,0,EGY,32.27926078,100176,3,0,Hans Kary,L,0,AUT,31.00342231,6-2 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-205,Lagos,Clay,32,A,19800225,6,100451,0,0,Tony Graham,R,0,USA,23.32375086,100512,0,Q,Robert Reininger,R,185,AUT,22.14921287,6-4 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-205,Lagos,Clay,32,A,19800225,7,100266,0,0,John Feaver,R,190,GBR,28.02464066,100330,0,0,David Imonitie,R,0,NGR,25.87816564,7-5 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-205,Lagos,Clay,32,A,19800225,8,100499,0,0,Chris Mayotte,R,0,USA,22.4421629,100377,6,0,Colin Dowdeswell,R,185,GBR,24.79123888,6-4 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-205,Lagos,Clay,32,A,19800225,9,100543,8,0,Peter Elter,R,178,GER,21.71115674,108231,0,0,Segun Balogun,R,0,NGR,0,6-1 6-1,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
