Rank,Career Win %,Career Double Fault %,Career Ace %,Career Break Point Saved %,Career Won against Top 10 %,Career Won on Hard Court %,Career Won on Clay Court %,Career Ace Against %,Career First Serve Points Return Won %,Career Points Won %,Current Year Win %,Current Year Double Fault %,Current Year Ace %,Current Year Break Point Saved %,Current Year Won against Top 10 %,Current Year Won on Hard Court %,Current Year Won on Clay Court %,Current Year Ace Against %,Current Year First Serve Points Return Won %,Current Year Points Won %,Score
-59,0.452054795,0.139980196,1.027850996,1.08697479,0,0.3125,0.428571429,1.218536658,0.142552027,-0.087928144,0.510204082,2.524822695,17.61702128,3.096446701,0,0,0,16.62048193,0.389268806,0,2
316,-0.202054795,-0.168077509,-1.08846744,-1.208441558,0,-0.1125,-0.428571429,-1.206552265,-0.12704053,0.101573762,-0.510204082,-2.524822695,-17.61702128,-3.096446701,0,0,0,-16.62048193,-0.389268806,0,-2
-21,0.471910112,0.036820769,0.513003853,0.695632799,0.043478261,0.5,0.6,0.721128247,0.132630344,-0.035549301,0.456521739,1.348101266,13.67088608,2.559808612,0,0,0,21.4047619,0.372405729,0,-2
249,-0.083333333,-0.158703135,-1.259410045,-1.344155844,0,0.2,0,-0.946787537,-0.108802228,0.132289686,-0.5,-2.6,-20.6,-4.6,0,0,0,-13.28571429,-0.363636364,0,2
-224,-0.047945205,0.179555708,1.08912344,1.118438538,-1,0.3125,-0.071428571,1.254194187,0.11153397,-0.084802482,-0.489795918,2.524822695,17.61702128,3.096446701,0,0,0,16.62048193,0.389268806,0,2
5,0.051620257,0.031308887,0.214553094,0.159240739,-0.019021739,0.1,0.266666667,0.287983657,0.042841115,-0.00886191,0,-1.170080552,-9.592750288,-0.985645933,0,0,0,-0.353858785,0.005822815,0,1
-64,0.618768328,-0.020489596,0.140558538,0.213386497,0.237623762,0.633484163,0.543307087,0.043559122,0.025531217,-0.0135953,0.630434783,12.5375,38.0375,6.422680412,0,0,0,12.42105263,0.371706319,0,-1
-323,0.262195122,0.177378998,2.438921574,1.297635698,0.15,0.085714286,0.5,1.612335976,0.137895216,-0.128781245,0.571428571,1.773049645,25.35460993,2.487179487,0,0,0,16.39751553,0.381623834,0,-2
45,-0.221389305,0.140150835,1.118856894,1.163062375,-0.217391304,-0.56937799,-0.444444444,0.924986697,0.061407973,-0.097639797,-0.085365854,-1.659259259,6.803703704,0.142372881,0,0,0,-4.025606469,-0.001252792,0,2
86,0.081278539,-0.130966913,-0.386326645,-0.265830116,0.25,0.354166667,-0.428571429,-0.503321897,-0.026435775,0.083934964,-0.010204082,0.675177305,24.78297872,0.361886633,0,0,0,12.91797961,-0.012430571,0,-2
-108,0.02259887,0.027674872,0.199003376,0.168317099,-0.765957447,0.529550827,-0.073643411,0.057307228,-0.026409177,-0.016316179,-0.576923077,5.558558559,11.42342342,5.535211268,0,0,0,21.49411765,0.328190158,0,-2
199,-0.061799289,-0.014487656,-0.263789152,-0.437647163,-0.0625,-0.08,0.051282051,-0.219851216,-0.015769102,0.011825873,-0.123188406,-1.328992629,-13.8041769,-0.847780127,0,0,0,-1.072906404,0.030658465,0,-1
32,0.009807423,0.057667213,0.469168664,0.632394351,-0.033444816,0.044680851,0.344680851,0.607556372,0.0465971,-0.024018847,-0.052912223,-1.086681343,-11.65954871,-0.562018799,0,0,0,-1.447951274,-0.015071818,0,2
35,-0.423076923,0.016468081,-0.019257968,-0.212246302,0,-0.444444444,-0.5,-0.262449799,-0.074728604,0.014833694,-0.333333333,-5,-27.4,-3.136363636,0,0,0,-36.5,-0.370114943,0,1
59,-0.227963731,-0.003013874,-0.162804352,-0.065395611,-0.154290429,-0.395388925,-0.053945384,0.188783994,0.041978479,0.015598931,-0.336317136,-10.57083333,-29.7375,-2.689347079,0,0,0,20.42894737,0.011099111,0,-2
98,0.25,0.036418816,0.057663126,0.584415584,0,0.2,0,0.095317726,0.231197772,0.505171042,0,0,0,0,0,0,0,0,0,0,2
-388,-0.097826087,0.148691669,1.219277291,1.254438095,-0.069767442,-0.470899471,-0.35,0.9305399,0.065960796,-0.110481123,0.2,-0.339393939,13.14545455,1.624390244,0,0,0,-13.1957672,-0.012587413,0,1
-143,0.158889305,-0.025094918,-0.32386379,-0.462615947,0.217391304,0.334083873,0.444444444,-0.534571459,-0.042915038,0.010838744,0.130820399,2.544973545,-6.721560847,2.15510611,0,0,0,-1.517250674,-0.01719177,0,2
-13,-0.018181818,-0.042279412,-0.725480151,-0.898206066,0,-0.333333333,0.6,-0.725352218,0.035609615,-0.001663796,0,-3.2,-39.4,-1.858333333,0,0,0,-11.53846154,-0.054804337,0,-2
4,-0.22,0.018401419,-0.005309998,0.1060692,-0.666666667,0.352941176,-0.25,0.331502278,0.006836745,0.00143981,-1,1.444444444,2.111111111,2.166666667,0,0,0,33.21428571,0.383647799,0,-2
-86,-0.105932203,-0.010230685,-0.158006632,-0.147326522,-0.131478451,-0.243836542,0.084632422,0.044203977,0.100578875,0.005956846,0.031468531,-4.998558559,5.946576577,-2.306397708,0,0,0,1.191928865,0.060383585,0,-1
-254,0.020289855,0.020590181,0.374443622,0.659008775,-0.034274194,-0.03153527,0.114583333,0.431097114,0.020724792,-0.015857635,0.456521739,2.118181818,19.86363636,1.656565657,0,0,0,-13.24137931,0.043748269,0,2
-40,0.191823899,-0.030095003,-0.214462138,-0.215780914,0,0.32,0.384615385,-0.036706626,-0.019075467,-0.016629687,-0.166666667,0.718600954,3.165341812,-2.052325581,0,0,0,12.88571429,0.001137483,0,2
-233,0.471910112,0.038836898,0.582672311,0.591991342,0.043478261,0.5,0.6,-0.081902056,0.017547388,-0.033154312,0.456521739,-0.401898734,13.17088608,0.726475279,0,0,0,-72.5952381,-0.13668518,0,2
-220,-0.243589744,0.048048048,0.137537538,0.918128655,0,-0.055555556,0.5,0.345783133,0.290414878,0.476691729,-0.666666667,5,27.4,3.136363636,0,0,0,36.5,0.370114943,0,2
9,0.411764706,0.090909091,1.72629521,1.257532281,0,0,0,2.666666667,0.15492597,-0.071087468,0.5,0.95,15.15,2.467741935,0,0,0,21.33333333,0.394787645,0,-2
-201,-0.092528736,0.001296165,0.021549367,0.262257771,-0.05620155,-0.165413534,-0.067160037,0.258437498,-0.009440876,0.017128902,0.294117647,1.966666667,8.3,3.733333333,0,0,0,32.85,0.38280543,0,2
