,Player 1 Score,Player 2 Score,Winner,,,
0,2.6322,2.7281,0,0.0959,,1.577011075
1,3.8274,1.5329,1,2.2945,,1.049450733
2,3.3117,2.0486,0,1.2631,,
3,2.2506,3.1097,0,0.8591,,
4,3.2866,2.0737,0,1.2129,,
5,3.7936,1.0658,0,2.7278,,
6,2.8097,2.5506,0,0.2591,,
7,0.9828,4.3775,0,3.3947,,
8,4.3808,0.9795,1,3.4013,,
9,3.1747,2.1856,1,0.9891,,
10,1.0309,4.3294,1,3.2985,,
11,4.411,0.9493,0,3.4617,,
12,3.1992,2.1611,0,1.0381,,
13,3.2588,2.1015,1,1.1573,,
14,3.7634,1.5969,1,2.1665,,
15,2.0111,3.3492,1,1.3381,,
16,2.6031,2.2563,1,0.3468,,
17,3.881,1.4793,0,2.4017,,
18,3.7407,1.6196,1,2.1211,,
19,4.3775,0.9828,0,3.3947,,
20,1.0702,4.2901,0,3.2199,,
21,2.7572,2.6031,1,0.1541,,
22,2.0788,3.2815,1,1.2027,,
23,2.0111,3.3492,1,1.3381,,
24,2.785,2.5753,0,0.2097,,
25,2.6024,2.7579,1,0.1555,,
26,4.3243,0.5351,0,3.7892,,
27,2.068,3.2923,1,1.2243,,
28,2.785,2.5753,1,0.2097,,
29,1.566,3.7943,0,2.2283,,
30,2.785,2.5753,0,0.2097,,
31,2.809,2.5513,1,0.2577,,
32,2.6315,2.7288,1,0.0973,,
33,2.0195,3.3408,1,1.3213,,
34,2.279,3.0813,0,0.8023,,
35,4.8594,0.5009,0,4.3585,,
36,2.6024,2.7579,1,0.1555,,
37,3.375,1.4844,0,1.8906,,
38,3.8133,1.547,0,2.2663,,
39,2.8399,2.0195,1,0.8204,,
40,4.411,0.9493,0,3.4617,,
41,2.6282,2.7321,0,0.1039,,
42,0.9777,4.3826,0,3.4049,,
43,3.8424,1.5179,0,2.3245,,
44,3.8759,1.4844,0,2.3915,,
45,4.329,1.0313,1,3.2977,,
46,3.7343,1.626,0,2.1083,,
47,2.7288,2.6315,1,0.0973,,
48,2.727,2.6333,0,0.0937,,
49,3.2636,1.5958,1,1.6678,,
50,3.0471,2.3132,1,0.7339,,
51,2.7281,2.6322,0,0.0959,,
52,2.6285,2.7318,0,0.1033,,
53,1.5678,3.7925,1,2.2247,,
54,4.9126,0.4477,0,4.4649,,
55,1.0618,4.2985,0,3.2367,,
56,1.5325,3.8278,0,2.2953,,
57,2.2261,3.1342,0,0.9081,,
58,3.375,1.9853,0,1.3897,,
59,0.5318,3.744,1,3.2122,,
60,3.9101,1.4502,1,2.4599,,
61,3.2927,2.0676,0,1.2251,,
62,2.0162,3.3441,0,1.3279,,
63,2.0111,3.3492,0,1.3381,,
64,3.7634,1.5969,0,2.1665,,
65,2.1547,3.2056,0,1.0509,,
66,2.0195,3.3408,0,1.3213,,
67,3.9101,0.9493,0,2.9608,,
68,1.0334,3.826,0,2.7926,,
69,3.8457,1.5146,0,2.3311,,
70,0.5351,4.8252,0,4.2901,,
71,2.0162,3.3441,1,1.3279,,
72,1.5179,3.8424,0,2.3245,,
73,3.8508,1.5095,1,2.3413,,
74,4.3269,1.0334,0,3.2935,,
75,2.2448,3.1155,0,0.8707,,
76,1.5951,3.7652,1,2.1701,,
77,1.982,3.3783,1,1.3963,,
78,1.4844,3.375,1,1.8906,,
79,1.749,3.6113,1,1.8623,,
80,2.8399,2.0195,1,0.8204,,
81,1.0334,4.3269,0,3.2935,,
82,2.727,2.6333,0,0.0937,,
83,3.8759,1.4844,0,2.3915,,
84,2.2014,3.1589,0,0.9575,,
85,2.785,2.5753,1,0.2097,,
86,4.8303,0.53,0,4.3003,,
87,1.0334,3.826,1,2.7926,,
88,1.6203,3.74,0,2.1197,,
89,1.5711,3.7892,1,2.2181,,
90,3.3408,2.0195,1,1.3213,,
91,4.2661,1.0942,0,3.1719,,
92,3.8424,1.5179,0,2.3245,,
93,3.2056,1.6538,1,1.5518,,
94,2.7318,1.5634,0,1.1684,,
95,0.9493,4.411,1,3.4617,,
96,1.5634,2.7318,0,1.1684,,
97,2.2272,3.1331,1,0.9059,,
98,3.8759,1.4844,0,2.3915,,
99,3.3492,2.0111,1,1.3381,,
100,0.9493,4.411,0,3.4617,,
101,2.7623,2.598,0,0.1643,,
102,4.3276,0.5318,1,3.7958,,
103,0.9828,4.3775,1,3.3947,,
104,3.3408,2.0195,0,1.3213,,
105,2.785,2.5753,1,0.2097,,
106,4.6192,2.0144,1,2.6048,,
107,3.9101,1.4502,0,2.4599,,
108,0.9493,4.411,1,3.4617,,
109,3.1992,2.1611,0,1.0381,,
110,1.5179,3.3415,1,1.8236,,
111,2.512,2.8483,1,0.3363,,
112,1.0334,3.2424,0,2.209,,
113,3.7892,1.5711,1,2.2181,,
114,2.0435,3.3168,1,1.2733,,
115,2.0111,3.3492,0,1.3381,,
116,3.2588,2.1015,0,1.1573,,
117,4.2934,1.0669,0,3.2265,,
118,2.0195,3.3408,0,1.3213,,
119,2.7189,2.6414,0,0.0775,,
120,3.7976,1.5627,0,2.2349,,
121,4.411,0.9493,0,3.4617,,
122,4.411,0.9493,0,3.4617,,
