Jaime Pinto Bravo,168,0,30,9,0,37.02669405,1,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,100038
Nicola Spear,131,0,30,7,0,34.264202600000004,1,0,0,0,0,0,0,0,0,0,-2,0.23333333333333334,0,0,0,0,0,100083
Fred Stolle,298,0,10,5,190,39.71526352,1,0,0,0,0,0,0,0,0,0,-2,0.5,0,0,0,0,0,100030
Kenneth McMillan,190,0,5,0,0,27.62765229,1,0,0,0,0,0,0,0,0,0,-5,0.0,0,0,0,0,0,100168
Frew Mcmillan,58,0,54,20,183,35.67693361,1,0,0,0,0,0,0,0,0,0,0,0.37037037037037035,0,0,0,0,0,100067
Dick Dell,143,0,15,6,0,28.76386037,1,0,0,0,0,0,0,0,0,0,-3,0.4,0,0,0,0,0,100145
Bob Giltinan,82,0,36,11,0,29.19644079,1,0,0,0,0,0,0,0,0,0,-1,0.3055555555555556,0,0,0,0,0,100178
Ivan Molina,94,0,71,30,0,31.95071869,0,0,0,0,0,0,0,0,0,0,0,0.4225352112676056,0,0,0,0,0,100118
Jeff Borowiak,115,0,181,72,193,34.2696783,1,0,0,0,0,0,0,0,0,0,-4,0.39779005524861877,0,0,0,0,0,100186
Jasjit Singh,199,0,10,3,0,28.79945243,1,0,0,0,0,0,0,0,0,0,-2,0.3,0,0,0,0,0,100156
Ian Fletcher,184,0,10,3,0,27.17043121,1,0,0,0,0,0,0,0,0,0,-2,0.3,0,0,0,0,0,100169
Mike Estep,95,0,62,25,173,33.45927447,1,0,0,0,0,0,0,0,0,0,0,0.4032258064516129,0,0,0,0,0,100182
Ilie Nastase,586,0,293,178,183,39.10472279,1,0,0,0,0,0,0,0,0,0,-2,0.6075085324232082,0,0,0,0,0,100119
Anand Amritraj,793,0,73,23,185,31.78644764,1,0,0,0,0,0,0,0,0,0,-2,0.3150684931506849,0,0,0,0,0,100270
Ross Case,415,0,81,36,0,31.17316906,1,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,0,0,0,0,0,100257
Juan Gisbert,45,0,52,25,0,34.34360027,1,0,0,0,0,0,0,0,0,0,0,0.4807692307692308,0,0,0,0,0,100064
Raul Ramirez,25,0,305,209,183,29.53867214,1,0,0,0,0,0,0,0,0,0,0,0.6852459016393443,0,0,0,0,0,100309
Zeljko Franulovic,140,0,115,63,0,35.55920602,1,0,0,0,0,0,0,0,0,0,-3,0.5478260869565217,0,0,0,0,0,100141
Manuel Orantes,74,0,278,184,178,34.90212183,0,0,0,0,0,0,0,0,0,0,-6,0.6618705035971223,0,0,0,0,0,100174
Allan Stone,72,0,41,16,0,32.26830938,0.5,0,0,0,0,0,0,0,0,0,1,0.3902439024390244,0,0,0,0,0,100105
Terry Ryan,326,0,8,1,0,34.28336756,1,0,0,0,0,0,0,0,0,0,-5,0.125,0,0,0,0,0,100065
Syd Ball,146,0,63,19,188,31.91512663,1,0,0,0,0,0,0,0,0,0,-2,0.30158730158730157,0,0,0,0,0,100201
Wanaro N'Godrella,199,0,11,2,0,26.49691992,1,0,0,0,0,0,0,0,0,0,0,0.18181818181818182,0,0,0,0,0,100193
Charlie Pasarell,137,0,77,35,0,33.94387406,1,0,0,0,0,0,0,0,0,0,0,0.45454545454545453,0,0,0,0,0,100081
Fred Mcnair,309,0,57,20,183,31.20602327,1,0,0,0,0,0,0,0,0,0,0,0.3508771929824561,0,0,0,0,0,100215
Rod Laver,120,0,42,28,173,39.4770705,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0,0,100029
Jacques Thamin,190,0,6,0,0,24.45995893,1,0,0,0,0,0,0,0,0,0,-6,0.0,0,0,0,0,0,100277
Jeff Simpson,167,0,25,8,0,32.18069815,1,0,0,0,0,0,0,0,0,0,-2,0.32,0,0,0,0,0,100223
Vijay Amritraj,360,44,307,150,193,36.5284052,1,0,0,0,0,0,0,0,0,0,-4,0.48859934853420195,0,0,0,0,0,100321
Raymond Moore,112,0,117,53,183,34.48323066,1,0,0,0,0,0,0,0,0,0,-2,0.452991452991453,0,0,0,0,0,100121
Jurgen Fassbender,65,0,57,22,0,29.94387406,0.5,0,0,0,0,0,0,0,0,0,1,0.38596491228070173,0,0,0,0,0,100161
Hans Jurgen Pohmann,258,0,69,37,0,30.97878166,1,0,0,0,0,0,0,0,0,0,-1,0.5362318840579711,0,0,0,0,0,100137
Geoff Masters,166,0,86,41,0,30.29705681,1,0,0,0,0,0,0,0,0,0,0,0.47674418604651164,0,0,0,0,0,100219
John Newcombe,114,0,108,62,183,33.79329227,1,0,0,0,0,0,0,0,0,0,-2,0.5740740740740741,0,0,0,0,0,100087
Premjit Lall,248,0,6,2,0,33.79055441,1,0,0,0,0,0,0,0,0,0,-2,0.3333333333333333,0,0,0,0,0,100051
Paul Gerken,70,0,19,7,185,25.27310062,1,0,0,0,0,0,0,0,0,0,0,0.3684210526315789,0,0,0,0,0,100205
Brian Gottfried,21,0,375,242,183,31.93155373,1,0,0,0,0,0,0,0,0,0,0,0.6453333333333333,0,0,0,0,0,100261
Jim Mcmanus,322,0,28,1,175,37.35249829,0,0,0,0,0,0,0,0,0,0,-1,0.03571428571428571,0,0,0,0,0,100049
Nicholas Kalogeropoulos,110,0,1,0,0,28.76659822,1,0,0,0,0,0,0,0,0,0,-1,0.0,0,0,0,0,0,100097
Ion Tiriac,102,0,17,4,0,39.132101299999995,1,0,0,0,0,0,0,0,0,0,-1,0.23529411764705882,0,0,0,0,0,100035
Patricio Cornejo,69,0,56,22,180,33.97672827,1,0,0,0,0,0,0,0,0,0,-2,0.39285714285714285,0,0,0,0,0,100088
Julian Ganzabal,92,0,43,17,0,29.99589322,1,0,0,0,0,0,0,0,0,0,0,0.3953488372093023,0,0,0,0,0,100122
Toma Ovici,168,0,9,4,0,0.0,1,0,0,0,0,0,0,0,0,0,-1,0.4444444444444444,0,0,0,0,0,108421
Jean Baptiste Chanfreau,154,0,12,6,0,28.37782341,1,0,0,0,0,0,0,0,0,0,-1,0.5,0,0,0,0,0,100129
Guillermo Vilas,179,0,576,412,180,36.78028747,0,0,0,0,0,0,0,0,0,0,-1,0.7152777777777778,0,0,0,0,0,100282
Hans Kary,143,0,88,33,0,32.30116359,0,0,0,0,0,0,0,0,0,0,-1,0.375,0,0,0,0,0,100176
Kjell Johansson,88,0,90,45,0,30.06160164,0.5,0,0,0,0,0,0,0,0,0,2,0.5,0,0,0,0,0,100228
Bjorn Borg,262,0,208,175,180,26.57631759,1,0,0,0,0,0,0,0,0,0,0,0.8413461538461539,0,0,0,0,0,100437
Eddie Dibbs,90,0,305,211,170,32.8569473,1,0,0,0,0,0,0,0,0,0,-3,0.6918032786885245,0,0,0,0,0,100232
Haroon Rahim,74,0,59,29,0,26.34086242,1,0,0,0,0,0,0,0,0,0,-1,0.4915254237288136,0,0,0,0,0,100196
Onny Parun,100,0,128,66,188,34.69404517,1,0,0,0,0,0,0,0,0,0,-2,0.515625,0,0,0,0,0,100135
Pierre Barthes,222,0,16,6,0,34.71321013,1,0,0,0,0,0,0,0,0,0,-6,0.375,0,0,0,0,0,100057
Adriano Panatta,174,0,182,107,183,32.48733744,1,0,0,0,0,0,0,0,0,0,-1,0.5879120879120879,0,0,0,0,0,100214
Jose Castanon,222,0,8,0,0,0.0,1,0,0,0,0,0,0,0,0,0,-8,0.0,0,0,0,0,0,107429
Roscoe Tanner,257,0,314,206,183,33.28952772,0,0,0,0,0,0,0,0,0,0,-2,0.6560509554140127,0,0,0,0,0,100255
Jan Kukal,202,0,2,0,0,31.12388775,1,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0,0,0,100070
Jaime Fillol,77,0,214,121,180,36.58590007,1,0,0,0,0,0,0,0,0,0,0,0.5654205607476636,0,0,0,0,0,100115
Gerald Battrick,94,0,48,17,178,29.2019165,1,0,0,0,0,0,0,0,0,0,-2,0.3541666666666667,0,0,0,0,0,100139
Jan Kodes,504,0,125,70,175,36.84325804,1,0,0,0,0,0,0,0,0,0,-7,0.56,0,0,0,0,0,100113
Buster C Mottram,19,0,166,97,0,27.69336071,0.5,0,0,0,0,0,0,0,0,0,2,0.5843373493975904,0,0,0,0,0,100376
Modesto Tito Vazquez,183,0,7,1,173,27.50444901,1,0,0,0,0,0,0,0,0,0,-4,0.14285714285714285,0,0,0,0,0,100172
Corrado Barazzutti,54,0,217,118,178,30.86652977,0.5,0,0,0,0,0,0,0,0,0,1,0.543778801843318,0,0,0,0,0,100297
Attila Korpas,199,0,9,2,0,0.0,1,0,0,0,0,0,0,0,0,0,-4,0.2222222222222222,0,0,0,0,0,106594
Tenny Svensson,241,0,24,3,0,28.82683094,1,0,0,0,0,0,0,0,0,0,-3,0.125,0,0,0,0,0,100288
Karl Meiler,180,0,96,46,178,35.69062286,1,0,0,0,0,0,0,0,0,0,0,0.4791666666666667,0,0,0,0,0,100179
Jiri Hrebec,132,0,102,48,0,30.68035592,1,0,0,0,0,0,0,0,0,0,0,0.47058823529411764,0,0,0,0,0,100220
Tom Okker,107,0,111,69,178,37.33059548,1,0,0,0,0,0,0,0,0,0,-3,0.6216216216216216,0,0,0,0,0,100084
Harald Elschenbroich,298,0,23,7,0,37.01574264,1,0,0,0,0,0,0,0,0,0,0,0.30434782608695654,0,0,0,0,0,100056
Vladimir Zednik,74,0,47,20,0,31.03080082,1,0,0,0,0,0,0,0,0,0,-5,0.425531914893617,0,0,0,0,0,100130
Paolo Bertolucci,285,0,103,56,175,31.41957563,1,0,0,0,0,0,0,0,0,0,0,0.5436893203883495,0,0,0,0,0,100249
Bob Carmichael,222,0,40,14,183,37.65092402,1,0,0,0,0,0,0,0,0,0,-5,0.35,0,0,0,0,0,100047
Barry Phillips Moore,132,0,64,24,173,40.88706366,1,0,0,0,0,0,0,0,0,0,-2,0.375,0,0,0,0,0,100025
Mark Cox,140,0,69,35,0,37.96577687,0,0,0,0,0,0,0,0,0,0,-5,0.5072463768115942,0,0,0,0,0,100073
Frantisek Pala,119,0,36,14,0,32.15058179,0,0,0,0,0,0,0,0,0,0,0,0.3888888888888889,0,0,0,0,0,100086
Andrew Pattison,253,0,87,36,188,33.9247091,1,0,0,0,0,0,0,0,0,0,-4,0.41379310344827586,0,0,0,0,0,100173
John Feaver,393,0,55,13,190,32.3559206,1,0,0,0,0,0,0,0,0,0,-2,0.23636363636363636,0,0,0,0,0,100266
Nikola Pilic,81,0,49,21,0,38.75427789,0,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,0,0,0,0,0,100037
Juan Herrera,211,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,-1,0.0,0,0,0,0,0,107456
John Cooper,136,0,2,1,0,26.98425736,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,100125
